name,description,msrp,caliber,action_type,weight_lbs,category,manufacturer
"Smith & Wesson M&P15 Sport II","One of the best-selling AR-15 platform rifles, offering a reliable and affordable entry point for sport shooting and home defense. Features a 16-inch barrel with a 1:9 twist rate.",799.00,5.56 NATO,semi-automatic,6.50,semi_auto_rifle,Smith & Wesson
"Ruger AR-556","A popular AR-15 variant with a cold hammer-forged barrel and Ruger's trademark reliability. Widely regarded as one of the best value AR-platform rifles on the market.",899.00,5.56 NATO,semi-automatic,6.50,semi_auto_rifle,Ruger
"Springfield Armory SAINT","Springfield's entry into the AR-15 market featuring a Bravo Company trigger guard, mid-length gas system, and Melonite-finished barrel. A strong competitor in the mid-range AR segment.",949.00,5.56 NATO,semi-automatic,6.90,semi_auto_rifle,Springfield Armory
"Ruger American Rifle","A lightweight, accurate bolt-action rifle with Ruger's Marksman Adjustable Trigger. Consistently one of the top-selling bolt-action rifles due to its quality-to-price ratio.",599.00,.308 Winchester,bolt-action,6.10,bolt_action_rifle,Ruger
"Remington 700 SPS","The iconic Remington 700 action has been the foundation for countless precision builds. The SPS model offers an accessible entry to this legendary platform.",849.00,.30-06 Springfield,bolt-action,7.40,bolt_action_rifle,Remington
"Savage Arms Axis II XP","A budget-friendly bolt-action rifle that ships with a mounted and bore-sighted Bushnell scope. Features Savage's user-adjustable AccuTrigger for a crisp pull.",479.00,.243 Winchester,bolt-action,6.50,bolt_action_rifle,Savage Arms
"Glock G19 Gen5","The quintessential compact 9mm pistol used by law enforcement and civilians worldwide. The Gen5 features a flared mag well, nDLC finish, and Marksman barrel.",599.00,9mm,semi-automatic,1.34,pistol,Glock
"Sig Sauer P365","A micro-compact 9mm that revolutionized the concealed carry market with its 10+1 capacity in an ultra-slim frame. Winner of multiple industry awards since its 2018 launch.",599.00,9mm,semi-automatic,1.12,pistol,Sig Sauer
"Springfield Armory Hellcat","A micro-compact 9mm competing directly with the P365, offering an 11+1 capacity and an adaptive grip texture. Features a U-Dot sight system for fast target acquisition.",569.00,9mm,semi-automatic,1.20,pistol,Springfield Armory
"Smith & Wesson 686 Plus","A 7-shot stainless steel L-frame revolver that also fires .38 Special. Long considered the gold standard for .357 Magnum revolvers in both sport shooting and defense.",949.00,.357 Magnum,double-action,2.50,revolver,Smith & Wesson
"Ruger GP100","Built on Ruger's notoriously overbuilt frame, the GP100 is known for absorbing heavy magnum loads with ease. A favorite among revolver enthusiasts for its durability.",899.00,.357 Magnum,double-action,2.50,revolver,Ruger
"Smith & Wesson Model 642","A lightweight, hammerless J-frame snub-nose revolver designed for concealed carry. Its enclosed hammer prevents snagging on clothing during a draw.",499.00,.38 Special,double-action-only,0.94,revolver,Smith & Wesson
"Mossberg 500","One of the most popular pump-action shotguns ever produced, with over 12 million sold. Known for its ambidextrous tang safety and wide aftermarket support.",499.00,12 Gauge,pump-action,7.50,shotgun,Mossberg
"Remington 870 Express","The best-selling pump shotgun in history with over 11 million units produced. A workhorse platform used for hunting, sport, home defense, and law enforcement.",449.00,12 Gauge,pump-action,7.25,shotgun,Remington
"Benelli M4","A gas-operated semi-automatic shotgun adopted by the U.S. Marine Corps as the M1014. Renowned for extreme reliability and the ability to cycle any load without adjustment.",1999.00,12 Gauge,semi-automatic,7.80,shotgun,Benelli
